,author,body,created_utc,score
0,Ryuksapple,"If you are younger and fit and healthy, I don't see a reason to get the vaccine. To be clear, the vaccine risk is super small but also so is COVID for that age group. You are trading the possible risk for the guaranteed risk. Ultimately, trust your gut. It knows best.",2021-10-15,0
1,puddingdemon,A bunch of conservatives are saying this same exact thing. Why are conservatives too stupid to know what HIV and covid is?,2021-10-15,4
2,Cold-Insurance-1478,"Lots of people have difficult and high risk jobs, who are paid much less,  who battled on through covid in high risk workplaces. Should they get a discount too? There has to be a line somewhere.

What did Peloton actually say? Was it the message itself, or the way they have phrased things?",2021-10-15,14
3,vemorox,"FREEDOM FLU IS NOT COVID - 19

he is calling for people to call out of work as a protest against vaccine mandates/leftist programs.

this phrase really started recently following SWA(southwest ariline) having issues. that conservatives are claiming (without any evidence)  are being caused by anti vaccine protests including mass sick call outs. 

look up a ""blue FLU"" same concept",2021-10-15,51
4,elena1583,"This was the message: 

You recently took a PCR test on 11/10/2021. There may have been an issue with the result.
We strongly recommend that anyone who received a negative test result books an appointment to be re-tested. Please visit ",2021-10-15,1
5,ireporteverything420,"90% in my county, and we were the county with the first reported cases in the country. My entire family had covid in January of 2020, we all still got vaccinated.",2021-10-15,11
6,Here4theGamble,Covid has been argued about for over a year now. I wont bother sharing my own experience with covid malfeasance because the odds are that you will just deny it.,2021-10-15,7
7,Guardian125478,"I pretty sure they would have evidence that they have covid so I doubt the reason was they don’t want to go through the hassle. 


Either way, I am sad for those who actually have covid and can’t get vaccinated but I have no empathy for those who are perfectly fine but refuse to vaccinated(not elder or actual medical conditions people)


Be safe, see ya.",2021-10-15,2
8,Chicharra-,"No tendrás nada y serás feliz. Es muy clara la consigna. Pero si seguís negando la agenda te dejo algunos links.

[",2021-10-15,-1
9,CoderDispose,Nope. Fomites are not a significant source of covid transmission. Putting it in the hand is the safest method.,2021-10-15,-1
10,Benjammn,"Ok, so let's say your hypothesis is true and it is inflated.  What percentage of the death count would you think is A) accurate and B) not a national tragedy?  50% (350,000 people)?  25% (175,000 people)?  Do you understand how callous this viewpoint is to the suffering caused by COVID?

Also, read up on excess deaths too.  Between March 1, 2020 and January 1, 2021, the US experienced over 520,000 excess deaths and over 370,000 deaths due to COVID.  So there were 150,000 more deaths than expected last year that weren't recorded as being caused by COVID.  How many of those cases do you think were actually COVID deaths that didn't get tested or reported?

I'm not saying the data is perfect, but simply stating that the count is drastically lower is completely wrong and that your anecdotal proof falls flat in the face of actual statistics, which state that the COVID death count could be even larger than the reported amount.",2021-10-15,3
11,dbahen40,Did they say actually say they are going to include COVID and the pandemic in Halloween ends or are people assuming that cause of the time jump?,2021-10-15,3
12,cerialthriller,"Because maybe the events were post poned due to Covid or the people were caught before the event was scheduled? There’s no indication he did anything wrong. He gave back some of the money already, he is probably trying to get the rest back from agent fees and taxes and all that",2021-10-15,2
13,BojackBilly,"Props to Sanjay Gupta for going on Rogan's show.  He knows he's going to get grilled, and he knows that CNN and other very liberal outlets have been intentionally only referring to Ivermectin as horse dewormer, despite it being mostly safe and given to humans for years.  Same with HCQ.   
At the same time, that doesn't make it an actual useful treatment for covid.  I don't know what else they need to do to get the right wing nut bags to stop thinking it's helpful or useful.  People like Adam are fully convinced that it is an actual treatment despite there being no real evidence this is true, and no matter what evidence there is he can't be convinced otherwise.",2021-10-15,3
14,nut_lord,Are there stats that show covid being dangerous for young vaccinated people? Honest question,2021-10-15,2
15,domoarigatodrloboto,"Meh, covid makes that look worse than it is. Last year was 67 out of a possible 70, and the year before was 51 out of a possible 56. He's fine.",2021-10-15,30
16,nemspy,"In what way has it forced their hands?  


It just makes it more certain that the COVID-Zero states will stay locked to NSW until they're ready.",2021-10-15,3
17,AreYouSiriusBGone,"Fully agree. Please be nice and thank your service agent if everything went smoothly! My broker sucks ass and simply looks for excuses to not allow DRS.

They used Covid as an excuse that DRS was abandoned. Like what the fuck has one to do with the other.",2021-10-15,88
18,Zero3020,"> Whats the chance that vaccinated ppl

Romania's high covid death rate is a result of their abysmal vaccination rate.",2021-10-15,18
19,restlessboy,"Very true. 

I doubt the original plan of having teams play in their home states/cities is ever happening now. It was already ambitious for the popularity of the league, and now covid pretty much put the nail in the coffin.

So we have a bunch of teams with city names that have literally nothing to do with the cities, or the states, or the countries or really even the continents. Philly, along with LAV and NY, are the three teams named after US cities which don't even get the luxury of being in the western region, so I can't even watch their games live.",2021-10-15,-1
20,thecopse,"My grandfather is in the hospital in Hudson NY right now. From my grandma """"The hospital is filled with unvaccinated people with Covid,"" the nurse told me, ""so the beds are full, and we are admitting no visitors right now.""

A speedy award to each and every nominee fuckwit in the country.",2021-10-15,31
21,Iwtlwn122,Well worded! It’s like expecting poorer countries to shut down during covid. Ah no. Shutting down is only available to richer countries.,2021-10-15,25
22,ptchinster,"*moving to one of the most expensive cities in the US*

*No job lined up*

*Works in an industry ravaged by covid*


This is how you end up homeless.",2021-10-15,-20
23,GettinDownDoots,What a shit headline. Our media is a disgrace. It’s disgusting they would exploit this child’s tragic death to push the fucking bar. “Other complications” amputation of arms and legs and still on only 25% of survival. Ya it was the Covid that got him. Fucking ingrates.,2021-10-15,-18
24,Citizen4320,But why? Why can't they use the rarity of a situation the same as you? What's the decimal point of people who die from covid again? Why can't they use that if you can use this? Rules for thee but not for me?,2021-10-15,1
25,refluentzabatz,Going to the Rave is a bad idea regardless of Covid.,2021-10-15,-2
26,bigheadgolf,"Because the CJ Cup is a Korean tournament. It's only in the US because of COVID.

CJ is a huge corporation in Korea",2021-10-15,8
27,TrumpLost2SleepyJoe,"> the “pandemic” has had little-to-no impact on life expectancy.

[Pandemic Reverses Years of Rising Life Expectancy in Russia](",2021-10-15,2
28,TheProGameFreak,"We also did this, you pick whatever you need when you get in before your shift. This became a normal around here when Covid hit so you didn't have to bring potentially contaminated clothes home",2021-10-15,5
29,TheButteredBiscuit,"Sorry to hear about your cousin. I don’t want to come across as insensitive in anyway, but the truth is your cousin is in a very small minority. It is still safer for most people to get the vaccine than to wait and see if you’ll have an easy time with covid. I’d encourage anyone on the fence about it talk to their physician and gauge your personal risk. 

I hope your cousin is doing alright and I wish for the best for him and your family.",2021-10-15,5
